DAT,WL_Flume (m3/hour),WL_Flume_OUT (m3/hour),Solar (W/m2),Precipitation (mm),WindSpeed (m/s),RH (%),delta PD (mm)
172.5833333,0.031719426,0,757,0,1.2,69.1,-0.1
172.625,0.118458266,0,768,0,1.41,67.4,0.1
172.6666667,0.060882517,0,549,0,1.25,67.5,-0.1
172.7083333,0.060882517,0,422,0,1.08,70,0
172.75,0.060882517,0,118,0,0.74,72,0
172.7916667,0.060882517,0,44,0,0.9,75,-0.1
172.8333333,0.060882517,0,9,0,0.8,79.2,-0.1
172.875,0.040201175,0,0,0,0.73,83.1,-0.1
172.9166667,0.049905276,0,0,0,0.25,89.1,-0.1
172.9583333,0.049905276,0,0,0,0.33,91.3,0
173,0.10192578,0,0,0,0.2,93.7,0
173.0416667,0.136485904,0,0,0,0.31,94.6,-0.1
173.0833333,0.10192578,0,0,0,0.29,94.1,0
173.125,0.136485904,0,0,0,0.29,94,0
173.1666667,0.118458266,0,0,0,0.43,94.1,-0.1
173.2083333,0.118458266,0,0,0,0.48,92,0
173.25,0.118458266,0,5,0,0.28,89.6,-0.1
173.2916667,0.10192578,0,38,0,0.34,90.4,0.1
173.3333333,0.10192578,0,146,0,0.64,91.4,0
173.375,0.073181235,0,466,0,1.32,89.1,0
173.4166667,0.073181235,0,693,0,2.23,83.1,-0.1
173.4583333,0.086847586,0,774,0,1.69,76.7,0.1
173.5,0.086847586,0,947,0,2.2,71,0
173.5416667,0.086847586,0,670,0,1.33,65.8,-0.1
173.5833333,0.060882517,0,756,0,1.66,65.4,0
173.625,0.073181235,0,735,0,1.65,64,-0.1
173.6666667,4.28564367,0,647,0,1.54,63.2,0.1
173.7083333,4.729262015,0,362,0,1.59,64.9,0.3
173.75,4.882878358,0,69,0,1.17,67.5,0.2
173.7916667,5.039394383,0,38,0,1.58,68.3,0.1
173.8333333,4.882878358,0,9,0,0.99,71.7,0.3
173.875,4.729262015,0,0,0,0.31,81.2,0.3
173.9166667,4.882878358,0,0,0,0.2,88,0.2
173.9583333,4.882878358,0,0,0,0.21,91.5,0.2
174,4.729262015,0,0,0,0.21,93.3,0.3
174.0416667,4.882878358,0.000101543,0,0,0.11,94.6,0.2
174.0833333,4.882878358,0.018205417,0,0,0.2,94.7,0.2
174.125,4.882878358,0.136485904,0,0,0.23,95.9,0.3
174.1666667,4.729262015,0.482630463,0,0,0.27,96.4,0.2
174.2083333,4.729262015,0.980280821,0,0,0.43,98,0.1
174.25,4.729262015,1.456996282,7,0,0.54,98.1,0.2
174.2916667,4.578528666,1.867261809,46,0.034,0.33,99.4,0.1
174.3333333,4.430661516,2.048334347,99,0,0.53,100,0.1
174.375,4.578528666,2.544834826,384,0,0.61,98.1,0
174.4166667,4.430661516,2.651802085,705,0,0.61,80.9,0
174.4583333,4.578528666,2.873555587,838,0,0.74,68.3,0.2
174.5,0.024406441,2.440448814,927,0,1.25,61.4,-0.2
